id,Type,Subtype,City,Country,Description,Price
0084,accommodation,Luxury Hotel,Rijeka,Croatia,Hilton Rijeka Costabella – 5-star luxury hotel with beach,200.0
0085,accommodation,Guesthouse,Rijeka,Croatia,Guesthouse Rijeka – Guesthouse near Croatian National Theatre,45.0
0086,accommodation,Hotel,Rijeka,Croatia,Hotel Jadran – 4-star hotel with seafront,100.0
0087,accommodation,Hostel,Rijeka,Croatia,Hostel Dharma – Budget hostel near city center,17.0
0088,accommodation,Hotel,Rijeka,Croatia,Hotel Continental – 3-star hotel with historic charm,90.0
0089,accommodation,Hostel,Rovinj,Croatia,Hostel Rovinj – Budget hostel near St. Euphemia,22.0
0090,accommodation,Guesthouse,Rovinj,Croatia,"Villa Tuttorotto – Guesthouse in old town, with charm",70.0
0091,accommodation,Hotel,Rovinj,Croatia,Hotel Adriatic – 4-star boutique hotel with sea views,150.0
0092,accommodation,Luxury Hotel,Rovinj,Croatia,Grand Park Hotel Rovinj – 5-star luxury hotel with spa,300.0
0093,accommodation,Guesthouse,Rovinj,Croatia,Guesthouse Casa Garzotto – Guesthouse in historic Rovinj,65.0
0094,accommodation,Luxury Hotel,Rovinj,Croatia,Hotel Lone – 5-star luxury hotel with design focus,280.0
0095,accommodation,Hostel,Rovinj,Croatia,Hostel Porton Biondi – Budget hostel near beach,20.0
0096,accommodation,Hotel,Rovinj,Croatia,Hotel Angelo d’Oro – 4-star hotel in old town,140.0
0097,accommodation,Hostel,Šibenik,Croatia,Hostel Šibenik – Budget hostel near St. James Cathedral,18.0
0098,accommodation,Hostel,Šibenik,Croatia,"Hostel Splendido – Simple hostel with terrace, old town",17.0
0099,accommodation,Guesthouse,Šibenik,Croatia,Guesthouse Mare – Guesthouse near waterfront,45.0
0100,accommodation,Hotel,Šibenik,Croatia,Heritage Hotel Life Palace – 4-star hotel in historic building,120.0
0101,accommodation,Luxury Hotel,Šibenik,Croatia,D-Resort Šibenik – 5-star luxury resort with marina,250.0
0102,accommodation,Guesthouse,Šibenik,Croatia,Guesthouse Šibenik – Guesthouse near Krka National Park entrance,50.0
0103,accommodation,Hotel,Šibenik,Croatia,Hotel Panorama – 4-star hotel with views,110.0
0104,accommodation,Hostel,Šibenik,Croatia,Hostel Globo – Budget hostel near Barone Fortress,18.0
0105,accommodation,Hotel,Šibenik,Croatia,Hotel Jadran – 3-star hotel near Cathedral,90.0
0106,accommodation,Hostel,Split,Croatia,Hostel Split Backpackers – Simple hostel near Diocletian’s Palace,22.0
0107,accommodation,Hostel,Split,Croatia,"Hostel Dvor – Budget hostel with rooftop, old town",20.0
0108,accommodation,Guesthouse,Split,Croatia,Guesthouse Vrlic – Guesthouse near Bacvice Beach,55.0
0109,accommodation,Hotel,Split,Croatia,Hotel Luxe – 4-star hotel with sea views,140.0
0110,accommodation,Luxury Hotel,Split,Croatia,Radisson Blu Split – 5-star luxury resort with pool,250.0
0111,accommodation,Guesthouse,Split,Croatia,Guesthouse Split – Guesthouse near Marjan Hill,60.0
0112,accommodation,Luxury Hotel,Split,Croatia,Hotel Park Split – 5-star luxury hotel near Bacvice,270.0
0113,accommodation,Hostel,Split,Croatia,Hostel Split – Simple hostel near Riva Promenade,20.0
0114,accommodation,Hotel,Split,Croatia,Cornaro Hotel – 4-star hotel in old town,150.0
0115,accommodation,Guesthouse,Split,Croatia,Riad Split – Guesthouse near Peristil Square,65.0
0116,accommodation,Hostel,Zadar,Croatia,Hostel Forum – Modern hostel near Sea Organ,20.0
0117,accommodation,Hostel,Zadar,Croatia,Youth Hostel Zadar – Budget hostel near old town,18.0
0118,accommodation,Guesthouse,Zadar,Croatia,Guesthouse Barba – Guesthouse near Roman Forum,50.0
0119,accommodation,Hotel,Zadar,Croatia,Hotel Bastion – 4-star hotel in historic building,130.0
0120,accommodation,Luxury Hotel,Zadar,Croatia,Falkensteiner Hotel Adriana – 5-star luxury hotel with spa,220.0
0121,accommodation,Guesthouse,Zadar,Croatia,Guesthouse Zadar – Guesthouse near Greeting to the Sun,50.0
0122,accommodation,Hotel,Zadar,Croatia,Hotel Kolovare – 4-star hotel near beach,110.0
0123,accommodation,Hostel,Zadar,Croatia,Hostel Zadar Backpackers – Budget hostel near Kalelarga,19.0
0124,accommodation,Hotel,Zadar,Croatia,Hotel Niko – 4-star hotel with beach access,120.0
0125,accommodation,Hostel,Zagreb,Croatia,"Swanky Mint Hostel – Trendy hostel in central Zagreb, with bar",20.0
0126,accommodation,Hostel,Zagreb,Croatia,Chillout Hostel Zagreb – Budget hostel near Ban Jelačić Square,18.0
0127,accommodation,Guesthouse,Zagreb,Croatia,Guesthouse Zagreb – Cozy guesthouse near Upper Town,50.0
0128,accommodation,Hotel,Zagreb,Croatia,Hotel Dubrovnik – 4-star hotel on main square,120.0
0129,accommodation,Luxury Hotel,Zagreb,Croatia,Esplanade Zagreb – 5-star luxury hotel with Art Deco style,200.0
0130,accommodation,Guesthouse,Zagreb,Croatia,Guesthouse Centar – Guesthouse near Zagreb Cathedral,55.0
0131,accommodation,Luxury Hotel,Zagreb,Croatia,Sheraton Zagreb – 5-star luxury hotel with pool,180.0
0132,accommodation,Hostel,Zagreb,Croatia,Hostel Bureau – Budget hostel near Museum of Broken Relationships,18.0
0133,accommodation,Hotel,Zagreb,Croatia,Hotel Jägerhorn – 4-star hotel near Lotrščak Tower,130.0
0134,accommodation,Guesthouse,Zagreb,Croatia,Riad Zagreb – Guesthouse near Maksimir Park,50.0
0135,accommodation,Hostel,Ayia Napa,Cyprus,Ayia Napa Hostel – Party hostel near Nissi Beach,22.0
0136,accommodation,Guesthouse,Ayia Napa,Cyprus,Napa Guesthouse – Guesthouse near nightlife district,50.0
0137,accommodation,Luxury Hotel,Ayia Napa,Cyprus,Alion Beach Hotel – 5-star luxury hotel with pool,260.0
0138,accommodation,Hotel,Ayia Napa,Cyprus,Nestor Hotel – 4-star hotel near Ayia Napa Square,110.0
0139,accommodation,Hostel,Ayia Napa,Cyprus,Hostel Napa Party – Budget hostel near nightlife,20.0
0140,accommodation,Guesthouse,Ayia Napa,Cyprus,Riad Ayia Napa – Guesthouse near Monastery,55.0
0141,accommodation,Luxury Hotel,Ayia Napa,Cyprus,Adams Beach Hotel – 5-star luxury hotel with private beach,270.0
0142,accommodation,Luxury Hotel,Ayia Napa,Cyprus,Nissi Beach Resort – 5-star luxury hotel with gardens,280.0
0143,accommodation,Hotel,Ayia Napa,Cyprus,Faros Hotel – 4-star hotel near harbor,120.0
0144,accommodation,Hostel,Famagusta,Cyprus,Famagusta Hostel – Budget hostel near Othello Castle (Northern Cyprus),16.0
0145,accommodation,Guesthouse,Famagusta,Cyprus,Guesthouse Salamis – Guesthouse near Salamis Ruins (Northern Cyprus),40.0
0146,accommodation,Luxury Hotel,Famagusta,Cyprus,Arkin Palm Beach – 5-star luxury hotel with beach (Northern Cyprus),200.0
0147,accommodation,Hotel,Famagusta,Cyprus,Mimoza Beach Hotel – 3-star hotel near coast (Northern Cyprus),80.0
0148,accommodation,Hostel,Famagusta,Cyprus,Hostel Varosha – Budget hostel near ghost town (Northern Cyprus),15.0
0149,accommodation,Guesthouse,Famagusta,Cyprus,Riad Famagusta – Guesthouse near old city walls (Northern Cyprus),40.0
0150,accommodation,Luxury Hotel,Famagusta,Cyprus,Salamis Bay Conti – 5-star luxury resort with beach (Northern Cyprus),210.0
0151,accommodation,Luxury Hotel,Famagusta,Cyprus,Kaya Artemis Resort – 5-star luxury resort with casino (Northern Cyprus),220.0
0152,accommodation,Hotel,Famagusta,Cyprus,Port View Hotel – 3-star hotel near harbor (Northern Cyprus),70.0
0153,accommodation,Hostel,Kyrenia,Cyprus,Kyrenia Hostel – Simple hostel near Kyrenia Castle (Northern Cyprus),18.0
0154,accommodation,Guesthouse,Kyrenia,Cyprus,Guesthouse Girne – Guesthouse in old town (Northern Cyprus),45.0
0155,accommodation,Luxury Hotel,Kyrenia,Cyprus,Rocks Hotel & Casino – 5-star luxury hotel with harbor views (Northern Cyprus),230.0
0156,accommodation,Hotel,Kyrenia,Cyprus,Dome Hotel – 4-star hotel near Kyrenia Harbour (Northern Cyprus),110.0
0157,accommodation,Hostel,Kyrenia,Cyprus,Hostel Bellapais – Simple hostel near Bellapais Abbey (Northern Cyprus),17.0
0158,accommodation,Guesthouse,Kyrenia,Cyprus,Riad Kyrenia – Guesthouse near harbor (Northern Cyprus),50.0
0159,accommodation,Luxury Hotel,Kyrenia,Cyprus,Merit Crystal Cove – 5-star luxury hotel with casino (Northern Cyprus),250.0
0160,accommodation,Luxury Hotel,Kyrenia,Cyprus,Acapulco Resort – 5-star luxury hotel with beach (Northern Cyprus),240.0
0161,accommodation,Hotel,Kyrenia,Cyprus,White Pearl Hotel – 3-star hotel near castle (Northern Cyprus),90.0
0162,accommodation,Hostel,Larnaca,Cyprus,Larnaca Hostel – Budget hostel near Finikoudes Beach,18.0
0163,accommodation,Guesthouse,Larnaca,Cyprus,Past Or Tail Guesthouse – Guesthouse near St. Lazarus Church,45.0
0164,accommodation,Luxury Hotel,Larnaca,Cyprus,Golden Bay Beach – 5-star luxury hotel with pool,220.0
0165,accommodation,Hotel,Larnaca,Cyprus,Sun Hall Hotel – 4-star hotel on Finikoudes Promenade,100.0
0166,accommodation,Hostel,Larnaca,Cyprus,Hostel Salt Lake – Budget hostel near Larnaca Salt Lake,17.0
0167,accommodation,Guesthouse,Larnaca,Cyprus,Riad Larnaca – Guesthouse near Mackenzie Beach,50.0
0168,accommodation,Luxury Hotel,Larnaca,Cyprus,Radisson Beach Resort – 5-star luxury hotel with pool,230.0
0169,accommodation,Hotel,Larnaca,Cyprus,Les Palmiers Beach – 3-star hotel near Finikoudes,90.0
0170,accommodation,Hotel,Larnaca,Cyprus,Palm Beach Hotel – 4-star hotel with gardens,120.0
0171,accommodation,Hostel,Limassol,Cyprus,Limassol Hostel – Simple hostel near Limassol Marina,20.0
0172,accommodation,Guesthouse,Limassol,Cyprus,"Pefkos Guesthouse – Guesthouse near old port, traditional style",50.0
0173,accommodation,Luxury Hotel,Limassol,Cyprus,Four Seasons Limassol – 5-star luxury beachfront hotel,300.0
0174,accommodation,Hotel,Limassol,Cyprus,Crowne Plaza Limassol – 4-star hotel with sea views,120.0
0175,accommodation,Hostel,Limassol,Cyprus,Hostel Marina – Simple hostel near Limassol Castle,18.0
0176,accommodation,Guesthouse,Limassol,Cyprus,Riad Limassol – Guesthouse near Molos Promenade,55.0
0177,accommodation,Luxury Hotel,Limassol,Cyprus,Amathus Beach Hotel – 5-star luxury hotel with beach,280.0
0178,accommodation,Luxury Hotel,Limassol,Cyprus,Columbia Beach Resort – 5-star luxury resort in Pissouri,300.0
0179,accommodation,Hotel,Limassol,Cyprus,Poseidonia Beach Hotel – 4-star hotel near Ladies Mile,110.0
0180,accommodation,Hostel,Nicosia,Cyprus,"Nicosia Hostel – Budget hostel near Ledra Street, shared dorms",18.0
0181,accommodation,Guesthouse,Nicosia,Cyprus,"Guesthouse Nicosia – Cozy guesthouse in old town, near Selimiye Mosque",45.0
0182,accommodation,Luxury Hotel,Nicosia,Cyprus,Hilton Nicosia – 5-star luxury hotel with pool,200.0
0183,accommodation,Hotel,Nicosia,Cyprus,Centrum Hotel – 3-star hotel near city center,90.0
0184,accommodation,Hostel,Nicosia,Cyprus,Hostel Ledra – Budget hostel near Green Line,17.0
0185,accommodation,Guesthouse,Nicosia,Cyprus,Riad Nicosia – Guesthouse near Cyprus Museum,50.0
0186,accommodation,Hotel,Nicosia,Cyprus,Cleopatra Hotel – 4-star hotel in city center,100.0
0187,accommodation,Hotel,Nicosia,Cyprus,Averof Hotel – 3-star hotel near walled city,80.0
0188,accommodation,Hotel,Nicosia,Cyprus,Map Boutique Hotel – 4-star hotel with modern design,120.0
0189,accommodation,Hostel,Paphos,Cyprus,Paphos Hostel – Simple hostel near Paphos Harbour,20.0
0190,accommodation,Guesthouse,Paphos,Cyprus,Dionysos Guesthouse – Guesthouse near Tombs of the Kings,50.0
0191,accommodation,Luxury Hotel,Paphos,Cyprus,Annabelle Hotel – 5-star luxury hotel with beach access,250.0
0192,accommodation,Hotel,Paphos,Cyprus,Almyra Hotel – 4-star hotel with modern design,130.0
0193,accommodation,Hostel,Paphos,Cyprus,Hostel Paphos Gardens – Simple hostel near Kato Paphos,18.0
0194,accommodation,Guesthouse,Paphos,Cyprus,Riad Paphos – Guesthouse near Archaeological Park,55.0
0195,accommodation,Luxury Hotel,Paphos,Cyprus,Elysium Hotel – 5-star luxury hotel with spa,270.0
0196,accommodation,Hotel,Paphos,Cyprus,Aphrodite Sands – 4-star resort with pool,100.0
0197,accommodation,Luxury Hotel,Paphos,Cyprus,Coral Beach Hotel – 5-star luxury hotel with beach,240.0
0198,accommodation,Hostel,Polis,Cyprus,Polis Hostel – Simple hostel near Latchi Harbour,16.0
0199,accommodation,Guesthouse,Polis,Cyprus,Guesthouse Polis – Guesthouse near Akamas Peninsula,40.0
0200,accommodation,Luxury Hotel,Polis,Cyprus,Anassa Hotel – 5-star luxury resort with beach,350.0
0201,accommodation,Hotel,Polis,Cyprus,Natura Beach Hotel – 3-star hotel with sea views,90.0
0202,accommodation,Hostel,Polis,Cyprus,Hostel Latchi – Simple hostel near Latchi Beach,15.0
0203,accommodation,Guesthouse,Polis,Cyprus,Riad Polis – Guesthouse near Polis Chrysochous,45.0
0204,accommodation,Hotel,Polis,Cyprus,Akamas Health Farm – 4-star hotel with spa,110.0
0205,accommodation,Hotel,Polis,Cyprus,Stephanos Hotel – 3-star hotel near Polis center,80.0
0206,accommodation,Hotel,Polis,Cyprus,Zening Resorts – 4-star eco-resort with wellness,140.0
0207,accommodation,Hostel,Protaras,Cyprus,Protaras Hostel – Budget hostel near Fig Tree Bay,20.0
0208,accommodation,Guesthouse,Protaras,Cyprus,Guesthouse Sunrise – Guesthouse near Sunrise Beach,55.0
0209,accommodation,Luxury Hotel,Protaras,Cyprus,Capo Bay Hotel – 5-star luxury hotel with spa,240.0
0210,accommodation,Hotel,Protaras,Cyprus,Cavo Maris Beach – 4-star hotel with beach access,120.0
0211,accommodation,Hostel,Protaras,Cyprus,Hostel Protaras Bay – Budget hostel near Protaras Coast,18.0
0212,accommodation,Guesthouse,Protaras,Cyprus,Riad Protaras – Guesthouse near Green Bay,50.0
0213,accommodation,Luxury Hotel,Protaras,Cyprus,Grecian Park Hotel – 5-star luxury hotel with views,230.0
0214,accommodation,Hotel,Protaras,Cyprus,Crystal Springs – 4-star hotel near Trinity Beach,110.0
0215,accommodation,Hotel,Protaras,Cyprus,Louis Althea Beach – 4-star hotel with family facilities,130.0
0216,accommodation,Hostel,Troodos,Cyprus,Troodos Hostel – Budget hostel in Troodos Mountains,15.0
0217,accommodation,Guesthouse,Troodos,Cyprus,Guesthouse Troodos – Guesthouse near Mount Olympus,40.0
0218,accommodation,Hotel,Troodos,Cyprus,Troodos Hotel – 3-star hotel with mountain views,80.0
0219,accommodation,Hotel,Troodos,Cyprus,Casale Panayiotis – 4-star boutique hotel with spa,130.0
0220,accommodation,Hostel,Troodos,Cyprus,Hostel Pinewood – Budget hostel near Caledonia Falls,14.0
0221,accommodation,Guesthouse,Troodos,Cyprus,Riad Troodos – Guesthouse in Troodos village,45.0
0222,accommodation,Hotel,Troodos,Cyprus,Jubilee Hotel – 3-star hotel with mountain views,85.0
0223,accommodation,Hotel,Troodos,Cyprus,Forest Park Hotel – 4-star hotel with mountain charm,100.0
0224,accommodation,Hotel,Troodos,Cyprus,New Helvetia Hotel – 3-star hotel in Platres,85.0
0225,accommodation,Hostel/Guesthouse,Alexandria,Egypt,Alexandria Old Town Hostel – Charming guesthouse set in a historic district with a relaxed vibe and personal touches.,18.0
0226,accommodation,Luxury Hotel,Alexandria,Egypt,"Four Seasons Hotel Alexandria at San Stefano – Elegant hotel with Mediterranean views, modern luxury amenities, and a touch of historic charm.",250.0
0227,accommodation,Hotel,Alexandria,Egypt,"Windsor Palace Hotel – Historic 4-star hotel on Corniche, sea views",80.0
0228,accommodation,Hostel,Alexandria,Egypt,Hostel Alexandria – Budget hostel near Bibliotheca Alexandrina,12.0
0229,accommodation,Guesthouse,Alexandria,Egypt,Gleem Bay Guesthouse – Cozy guesthouse near Montaza Palace,30.0
0230,accommodation,Luxury Hotel,Alexandria,Egypt,Four Seasons Alexandria – 5-star luxury hotel with private beach,200.0
0231,accommodation,Hotel,Alexandria,Egypt,"Paradise Inn – 4-star hotel on Corniche, near Qaitbay Citadel",70.0
0232,accommodation,Guesthouse,Alexandria,Egypt,Alex Guesthouse – Simple guesthouse near Stanley Bridge,25.0
0233,accommodation,Hotel,Alexandria,Egypt,Cecil Hotel – Historic 4-star hotel on Corniche,75.0
0234,accommodation,Hostel,Alexandria,Egypt,Sea Star Hostel – Budget hostel near Eastern Harbor,10.0
0235,accommodation,Hotel,Alexandria,Egypt,Metropole Hotel – 4-star historic hotel on Corniche,70.0
0236,accommodation,Guesthouse,Alexandria,Egypt,Alex Beach Guesthouse – Simple guesthouse near beach,25.0
0237,accommodation,Guesthouse,Aswan,Egypt,"Aswan Riverside Guesthouse – Traditional guesthouse with Nile views, offering a cozy retreat and local hospitality.",20.0
0238,accommodation,Guesthouse,Aswan,Egypt,Nuba Nile Guesthouse – Traditional Nubian guesthouse near Nile,40.0
0239,accommodation,Hostel,Aswan,Egypt,"Aswan Hostel – Budget hostel near Nubian Museum, shared dorms",11.0
0240,accommodation,Luxury Hotel,Aswan,Egypt,"Movenpick Aswan – 5-star hotel on Elephantine Island, with pool",180.0
0241,accommodation,Hotel,Aswan,Egypt,"Hotel Basma – 4-star hotel with Nile views, near Philae Temple",70.0
0242,accommodation,Hotel,Aswan,Egypt,"Philae Hotel – 3-star hotel with Nile views, near Aswan Market",50.0
0243,accommodation,Guesthouse,Aswan,Egypt,"Nubian Dreams – Guesthouse with Nubian decor, near Nile",30.0
0244,accommodation,Luxury Hotel,Aswan,Egypt,"Sofitel Old Cataract – 5-star luxury hotel in Nubian Desert, Nile views",250.0
0245,accommodation,Guesthouse,Aswan,Egypt,Aswan Inn – Budget guesthouse near High Dam,25.0
